      [ -1, -1,  1 ] CN11

T104: [ -1,  1,  0 ] CN05
      [  1,  1,  1 ] CP10
      [ -1, -1, -1 ] CN10

T105: [ -1,  1,  0 ] CN05
      [  1,  1,  1 ] CP10
      [ -1, -1,  1 ] CN11

T106: [ -1,  1,  0 ] CN05
      [ -1, -1, -1 ] CN10
      [  1,  1, -1 ] CP11

T107: [ -1,  1,  0 ] CN05
      [  1,  1, -1 ] CP11
      [ -1, -1,  1 ] CN11

T108: [  1,  0,  1 ] CP06
      [  1,  1, -1 ] CP11
      [ -1, -1,  1 ] CN11

T109: [  1,  0,  1 ] CP06
      [  1,  1, -1 ] CP11
      [ -1,  1,  1 ] CN13

T110: [  1,  0,  1 ] CP06
      [ -1, -1,  1 ] CN11
      [  1, -1, -1 ] CP13

T111: [  1,  0,  1 ] CP06
      [  1, -1, -1 ] CP13
      [ -1,  1,  1 ] CN13

T112: [ -1,  0, -1 ] CN06
      [  1,  1, -1 ] CP11
      [ -1, -1,  1 ] CN11

T113: [ -1,  0, -1 ] CN06
      [  1,  1, -1 ] CP11
      [ -1,  1,  1 ] CN13

T114: [ -1,  0, -1 ] CN06
      [ -1, -1,  1 ] CN11
      [  1, -1, -1 ] CP13

T115: [ -1,  0, -1 ] CN06
      [  1, -1, -1 ] CP13
      [ -1,  1,  1 ] CN13

T116: [  1,  0, -1 ] CP07
      [  1,  1,  1 ] CP10
      [ -1, -1, -1 ] CN10

T117: [  1,  0, -1 ] CP07
      [  1,  1,  1 ] CP10
      [ -1,  1, -1 ] CN12

T118: [  1,  0, -1 ] CP07
      [ -1, -1, -1 ] CN10
      [  1, -1,  1 ] CP12

T119: [  1,  0, -1 ] CP07
      [  1, -1,  1 ] CP12
      [ -1,  1, -1 ] CN12

T120: [ -1,  0,  1 ] CN07
      [  1,  1,  1 ] CP10
      [ -1, -1, -1 ] CN10

T121: [ -1,  0,  1 ] CN07
      [  1,  1,  1 ] CP10
      [ -1,  1, -1 ] CN12

T122: [ -1,  0,  1 ] CN07
      [ -1, -1, -1 ] CN10
      [  1, -1,  1 ] CP12

T123: [ -1,  0,  1 ] CN07
      [  1, -1,  1 ] CP12
      [ -1,  1, -1 ] CN12

T124: [  0,  1,  1 ] CP08
      [  1,  1, -1 ] CP11
      [ -1, -1,  1 ] CN11

T125: [  0,  1,  1 ] CP08
      [  1,  1, -1 ] CP11
      [  1, -1,  1 ] CP12

T126: [  0,  1,  1 ] CP08
      [ -1, -1,  1 ] CN11
      [ -1,  1, -1 ] CN12

T127: [  0,  1,  1 ] CP08
      [  1, -1,  1 ] CP12
      [ -1,  1, -1 ] CN12

T128: [  0, -1, -1 ] CN08
      [  1,  1, -1 ] CP11
      [ -1, -1,  1 ] CN11

T129: [  0, -1, -1 ] CN08
      [  1,  1, -1 ] CP11
      [  1, -1,  1 ] CP12

T130: [  0, -1, -1 ] CN08
      [ -1, -1,  1 ] CN11
      [ -1,  1, -1 ] CN12

T131: [  0, -1, -1 ] CN08
      [  1, -1,  1 ] CP12
      [ -1,  1, -1 ] CN12

T132: [  0,  1, -1 ] CP09
      [  1,  1,  1 ] CP10
      [ -1, -1, -1 ] CN10

T133: [  0,  1, -1 ] CP09
      [  1,  1,  1 ] CP10
      [  1, -1, -1 ] CP13

T134: [  0,  1, -1 ] CP09
      [ -1, -1, -1 ] CN10
      [ -1,  1,  1 ] CN13

T135: [  0,  1, -1 ] CP09
      [  1, -1, -1 ] CP13
      [ -1,  1,  1 ] CN13

T136: [  0, -1,  1 ] CN09
      [  1,  1,  1 ] CP10
      [ -1, -1, -1 ] CN10

T137: [  0, -1,  1 ] CN09
      [  1,  1,  1 ] CP10
      [  1, -1, -1 ] CP13

T138: [  0, -1,  1 ] CN09
      [ -1, -1, -1 ] CN10
      [ -1,  1,  1 ] CN13

T139: [  0, -1,  1 ] CN09
      [  1, -1, -1 ] CP13
      [ -1,  1,  1 ] CN13

T140: [  1,  1,  0 ] CP04
      [  1, -1,  1 ] CP12
      [ -1,  2,  0 ] CN19

T141: [  1,  1,  0 ] CP04
      [ -1,  1, -1 ] CN12
      [  2, -1,  0 ] CP15

T142: [  1,  1,  0 ] CP04
      [  1, -1, -1 ] CP13
      [ -1,  2,  0 ] CN19

T143: [  1,  1,  0 ] CP04
      [ -1,  1,  1 ] CN13
      [  2, -1,  0 ] CP15

T144: [ -1, -1,  0 ] CN04
      [  1, -1,  1 ] CP12
      [ -2,  1,  0 ] CN15

T145: [ -1, -1,  0 ] CN04
      [ -1,  1, -1 ] CN12
      [  1, -2,  0 ] CP19

T146: [ -1, -1,  0 ] CN04
      [  1, -1, -1 ] CP13
      [ -2,  1,  0 ] CN15

T147: [ -1, -1,  0 ] CN04
      [ -1,  1,  1 ] CN13
      [  1, -2,  0 ] CP19

T148: [  1, -1,  0 ] CP05
      [  1,  1,  1 ] CP10
      [ -1, -2,  0 ] CN18

T149: [  1, -1,  0 ] CP05
      [ -1, -1, -1 ] CN10
      [  2,  1,  0 ] CP14

T150: [  1, -1,  0 ] CP05
      [  1,  1, -1 ] CP11
      [ -1, -2,  0 ] CN18

T151: [  1, -1,  0 ] CP05
      [ -1, -1,  1 ] CN11
      [  2,  1,  0 ] CP14

T152: [ -1,  1,  0 ] CN05
      [  1,  1,  1 ] CP10
      [ -2, -1,  0 ] CN14

T153: [ -1,  1,  0 ] CN05
      [ -1, -1, -1 ] CN10
      [  1,  2,  0 ] CP18

T154: [ -1,  1,  0 ] CN05
      [  1,  1, -1 ] CP11
      [ -2, -1,  0 ] CN14

T155: [ -1,  1,  0 ] CN05
      [ -1, -1,  1 ] CN11
      [  1,  2,  0 ] CP18

T156: [  1,  0,  1 ] CP06
      [  1,  1, -1 ] CP11
      [ -1,  0,  2 ] CN21

T157: [  1,  0,  1 ] CP06
      [ -1, -1,  1 ] CN11
      [  2,  0, -1 ] CP17

T158: [  1,  0,  1 ] CP06
      [  1, -1, -1 ] CP13
      [ -1,  0,  2 ] CN21

T159: [  1,  0,  1 ] CP06
      [ -1,  1,  1 ] CN13
      [  2,  0, -1 ] CP17

T160: [ -1,  0, -1 ] CN06
      [  1,  1, -1 ] CP11
      [ -2,  0,  1 ] CN17

T161: [ -1,  0, -1 ] CN06
      [ -1, -1,  1 ] CN11
      [  1,  0, -2 ] CP21

T162: [ -1,  0, -1 ] CN06
      [  1, -1, -1 ] CP13
      [ -2,  0,  1 ] CN17

T163: [ -1,  0, -1 ] CN06
      [ -1,  1,  1 ] CN13
      [  1,  0, -2 ] CP21

T164: [  1,  0, -1 ] CP07
      [  1,  1,  1 ] CP10
      [ -1,  0, -2 ] CN20

T165: [  1,  0, -1 ] CP07
      [ -1, -1, -1 ] CN10
      [  2,  0,  1 ] CP16

T166: [  1,  0, -1 ] CP07
      [  1, -1,  1 ] CP12
      [ -1,  0, -2 ] CN20

T167: [  1,  0, -1 ] CP07
      [ -1,  1, -1 ] CN12
      [  2,  0,  1 ] CP16

T168: [ -1,  0,  1 ] CN07
      [  1,  1,  1 ] CP10
      [ -2,  0, -1 ] CN16

T169: [ -1,  0,  1 ] CN07
      [ -1, -1, -1 ] CN10
      [  1,  0,  2 ] CP20

T170: [ -1,  0,  1 ] CN07
      [  1, -1,  1 ] CP12
      [ -2,  0, -1 ] CN16

T171: [ -1,  0,  1 ] CN07
      [ -1,  1, -1 ] CN12
      [  1,  0,  2 ] CP20

T172: [  0,  1,  1 ] CP08
      [  1,  1, -1 ] CP11
      [  0, -1,  2 ] CN25

T173: [  0,  1,  1 ] CP08
      [ -1, -1,  1 ] CN11
      [  0,  2, -1 ] CP23

T174: [  0,  1,  1 ] CP08
      [  1, -1,  1 ] CP12
      [  0,  2, -1 ] CP23

T175: [  0,  1,  1 ] CP08
      [ -1,  1, -1 ] CN12
      [  0, -1,  2 ] CN25

T176: [  0, -1, -1 ] CN08
      [  1,  1, -1 ] CP11
      [  0, -2,  1 ] CN23

T177: [  0, -1, -1 ] CN08
      [ -1, -1,  1 ] CN11
      [  0,  1, -2 ] CP25

T178: [  0, -1, -1 ] CN08
      [  1, -1,  1 ] CP12
      [  0,  1, -2 ] CP25

T179: [  0, -1, -1 ] CN08
      [ -1,  1, -1 ] CN12
      [  0, -2,  1 ] CN23

T180: [  0,  1, -1 ] CP09
      [  1,  1,  1 ] CP10
      [  0, -1, -2 ] CN24

T181: [  0,  1, -1 ] CP09
      [ -1, -1, -1 ] CN10
      [  0,  2,  1 ] CP22

T182: [  0,  1, -1 ] CP09
      [  1, -1, -1 ] CP13
      [  0,  2,  1 ] CP22

T183: [  0,  1, -1 ] CP09
      [ -1,  1,  1 ] CN13
      [  0, -1, -2 ] CN24

T184: [  0, -1,  1 ] CN09
      [  1,  1,  1 ] CP10
      [  0, -2, -1 ] CN22

T185: [  0, -1,  1 ] CN09
      [ -1, -1, -1 ] CN10
      [  0,  1,  2 ] CP24

T186: [  0, -1,  1 ] CN09
      [  1, -1, -1 ] CP13
      [  0,  1,  2 ] CP24

T187: [  0, -1,  1 ] CN09
      [ -1,  1,  1 ] CN13
      [  0, -2, -1 ] CN22

T188: [  1,  1,  0 ] CP04
      [  2, -1,  0 ] CP15
      [ -1,  2,  0 ] CN19

T189: [ -1, -1,  0 ] CN04
      [ -2,  1,  0 ] CN15
      [  1, -2,  0 ] CP19

T190: [  1, -1,  0 ] CP05
      [  2,  1,  0 ] CP14
      [ -1, -2,  0 ] CN18

T191: [ -1,  1,  0 ] CN05
      [ -2, -1,  0 ] CN14
      [  1,  2,  0 ] CP18

T192: [  1,  0,  1 ] CP06
      [  2,  0, -1 ] CP17
      [ -1,  0,  2 ] CN21

T193: [ -1,  0, -1 ] CN06
      [ -2,  0,  1 ] CN17
      [  1,  0, -2 ] CP21

T194: [  1,  0, -1 ] CP07
      [  2,  0,  1 ] CP16
      [ -1,  0, -2 ] CN20

T195: [ -1,  0,  1 ] CN07
      [ -2,  0, -1 ] CN16
      [  1,  0,  2 ] CP20

T196: [  0,  1,  1 ] CP08
      [  0,  2, -1 ] CP23
      [  0, -1,  2 ] CN25

T197: [  0, -1, -1 ] CN08
      [  0, -2,  1 ] CN23
      [  0,  1, -2 ] CP25

T198: [  0,  1, -1 ] CP09
      [  0,  2,  1 ] CP22
      [  0, -1, -2 ] CN24

T199: [  0, -1,  1 ] CN09
      [  0, -2, -1 ] CN22
      [  0,  1,  2 ] CP24

