d,c,avg_cd,min_cd,max_cd,stddev_cd
65,7049,62.919492115459,57.0438427878066,79.6115569499806,3.6922496367267
66,7251,63.8777227915191,57.8013840664737,80.8331615118449,3.7368525583815
67,7484,64.8695700303074,58.6003412959344,82.0609529557146,3.80286662023157
68,7701,65.827134128272,59.84981202978,82.8794304999739,3.85105086590667
69,7898,66.7838155529516,60.2162768692984,84.5103543951864,3.90503646662501
70,8158,67.7786403987906,61.4247507117449,86.1452262171271,3.97973718148219
71,8404,68.746715858295,62.3698645180507,86.9597608092387,4.03559742384195
72,8617,69.7013604428978,62.8728876384726,88.1816307401944,4.07693931259705
73,8895,70.6934612881317,64.3117407632541,89.4091717890284,4.13892102001455
74,9144,71.660100162884,65.1229606206597,90.2274902676562,4.18999355164175
75,9360,72.6249997721291,65.8331223625312,91.8585869693193,4.24228884175755
76,9630,73.6109500108323,67.0820393249937,93.4933152690608,4.31824184919406
77,9871,74.5778054861455,67.5425791630731,94.3080060228187,4.37703571260255
78,10109,75.5341927888802,68.6221538571911,95.530099968544,4.41712411356763
79,10408,76.520689853306,69.6850055607374,96.7574286553751,4.48236806749255
80,10671,77.4857088592321,70.178344238091,97.5756117070244,4.53088628651388
81,10931,78.4490686138661,71.596089278675,99.2068546018873,4.57802798836723
82,11238,79.4426637858357,72.4499827467198,100.841459727634,4.65612279865226
83,11497,80.4165483581092,73.0889868584864,101.656283622804,4.71550665535633
84,11739,81.3657311491572,74.3370701601832,102.878569196893,4.75585827886455
85,12036,82.3505892756062,74.8732261893395,104.105715501119,4.82374034591091
86,12321,83.3180941438463,75.8485332752058,104.92378186093,4.87310414576099
87,12599,84.2765465238307,77.0064932327138,106.55515003978,4.92065340998508
88,12927,85.2679723439555,77.4919350642375,108.189648303338,4.99574613580011
89,13236,86.2405819530122,78.8923316932641,109.004587059444,5.05099013312245
90,13506,87.1962965259061,79.7809501071528,110.227038425243,5.093978772214
91,13823,88.1886229096849,80.3616824114578,111.454026396537,5.16340798029401
92,14116,89.1486027066071,81.6088230524127,112.271991164315,5.2126850520072
93,14382,90.1053791265355,82.2070556582584,113.903467901553,5.26187864963944
94,14737,91.1001910512965,83.0963296421689,115.537872578648,5.33725663993304
